Commit,High_Severity,Commit_Date,Fixed_In_Commit,Fix_Date,Duration_Days,Commits_Between
8d6adcaec3dffff0846ae98d52c9039a24e72f15,3,2025-01-09 04:37:47+00:00,25088599cdea13773ca0a623fe8f183db2912821,2025-01-09 19:08:43+00:00,0,1
a71bc6504fe921ec5ed1af76be71a56fca85058d,3,2025-01-16 17:21:17+00:00,5ac5753cd9f4d8b2fa47bb553c43f2b97ba5b1bc,2025-01-16 17:31:45+00:00,0,2
b7353fadf3a6ed73abcaa1101b4a0ff59e1e2ea3,2,2025-02-22 05:04:24+00:00,60139f6d1b89045a554a7fcf72116b8f82661320,2025-02-24 06:49:35+00:00,2,2
cc998cd52f0c463c92343ea0ce1820bd0c5ea88d,5,2024-10-30 02:43:50+00:00,acd3ee056c22e7bf9a3c2932cce4af4b7e26b824,2024-10-31 18:06:56+00:00,1,1
f73be2e5b0308c9856483bac25fe45646a43ccec,5,2025-02-19 00:07:11+00:00,134b993a132174b0dca9b6a49c5a05ac0b487a7a,2025-02-19 03:51:07+00:00,0,2
