Commit,High_Confidence,Medium_Confidence,Low_Confidence,High_Severity,Medium_Severity,Low_Severity,CWEs
be6c1b98c40785fa39d73954f5e84a7e1657d261,23,0,0,0,0,23,703
bedf8774677315c5eb7e640eca6d7aa15e87775a,4,0,0,0,0,4,703
c1d146cbd5becd9e33634b1310c2d27a49c7e862,23,0,0,0,0,23,703
c555642172e281cae6da8a6cff4dfd9ff678ae85,0,0,0,0,0,0,
c7f32a8409e52a84bd8046afe7060da33036f9a5,12,0,0,0,0,12,703
cc1690d9d6397afb2b2844b39a189c8e2374903f,12,0,0,0,0,12,703
cc408f9fbfc53046b73f425773b2a3948bc1da2a,0,0,0,0,0,0,
cdaf2de6e95cb05400959b5ab984f66e4c7df317,1,0,0,0,0,1,703
cdbbe844b1c0bcba3362e1f8c8af4d6f6d0bf300,107,0,0,0,0,107,703
cf0f4c38ef4cfd861caa8173a39ef34e299c5048,0,0,0,0,0,0,
d525b3829174e3db1cfcaebb6e4ddc2938bc164b,3,0,0,0,0,3,703
d57f826835b96aa5a6e49580b8335bb600892931,3,0,0,0,0,3,703
d904855e2dc0ec1c72984b1a9f6eba5cdcee1433,1,0,0,0,0,1,703
db803873431b35e81d857fd35715ad240e62919a,44,0,0,0,0,44,703
db8ca796092463a38db8faf1089bde4f29def745,0,0,0,0,0,0,
df11fcae2635b85e22e720ceab5d75f279c918d4,23,0,0,0,0,23,703
df5fe55264e4b59dcb1ce8e83f2e900bba164e92,11,0,0,1,2,8,"78, 703, 22"
dff976a84aabdf191761d7458d2c7aae68b3afb6,40,0,0,1,2,37,"78, 703, 22"
e2182cc21d5be2a1d71c8ca7eb1bc425563041f1,62,0,0,0,1,61,"78, 703, 22"
e782d28692e7b6ce6cd8a5f095b211b7510fef9e,0,0,0,0,0,0,
e94f7e89dc79d5af40bca52ff0562d2e44ae3511,11,0,0,1,2,8,"78, 703, 22"
ea3ecea97a1393c092863330aff9a162bb5ce443,1,0,0,0,0,1,703
ea8cd7fe7b80d450ea6682c7e1f9cf6c33dba762,11,0,0,1,2,8,"78, 703, 22"
ecdb528dea98904bcf6aa7b436a38f1e2e4cbd71,23,0,0,0,0,23,703
ed435c6b364288b3a98a1ec26975adfa9f645f6b,11,0,0,1,2,8,"78, 703, 22"
efbf19cd15c57696ad544bda0163693c45d400ee,3,0,0,0,0,3,"703, 502"
f6a294a2442666bcfced83405bd44e57bce2595d,1,0,0,0,0,1,703
f86e3dd9192e41dee3814c4cfd8bbce4792e6753,14,0,0,0,1,13,"78, 703, 22"
fa445ff6c215026438cca496a97242b8269aa428,8,0,0,0,0,8,703
fa60e7cc97300b4b26721983df580a7da7a8ebea,37,0,0,0,0,37,703
